Timestamp,Latitude,Longitude,Temperature (°C),pH,Salinity (PSU),Turbidity (NTU)
27-10-2020 21:34,24.28181183,84.27083746,26.94732868,7.907648269,34.8052375,4.90571674
23-02-2016 08:09,16.04182517,88.77688641,26.2792,8.027984175,35.53601415,2.292923117
17-06-2022 22:19,19.00023465,92.35703468,27.60000539,8.125131068,34.75014574,1.589541567
19-08-2021 03:07,10.74348711,81.97100687,28.92799345,8.023390903,33.34747657,4.881612147
21-12-2021 20:33,21.48891712,87.03416416,28.64537435,7.908962696,35.18549523,4.473280823
20-09-2017 09:55,20.46185423,94.26825945,26.26945563,8.139392194,34.52674648,1.201706537
26-08-2023 19:58,13.27551599,68.58900267,25.34692452,7.908886337,35.08505583,1.509267212
31-08-2018 18:03,9.836334989,74.12586202,31.06056708,8.212131489,34.01100375,2.07142451
11-08-2018 06:52,35.99755285,92.14900588,26.68548073,7.962377158,33.89860561,2.490809743
08-08-2015 03:18,28.10926267,82.82537106,31.28514359,8.044301443,33.67784384,3.996651761
17-03-2021 16:03,31.08577811,88.22441385,31.98154724,8.284384645,33.52203431,2.230354326
01-06-2022 20:20,27.18565929,76.57791659,27.52939306,8.001446143,33.92216763,2.35960557
16-02-2019 14:21,6.531944148,92.66615507,25.67304408,8.239095544,36.73582479,4.853090936
13-01-2018 03:04,23.3155372,91.49392782,26.44036049,8.166032483,34.76793091,1.115349621
06-03-2017 15:54,10.13345208,69.58457797,31.24336699,7.919297274,36.89000425,2.123288664
31-05-2017 00:51,18.21185728,70.79839653,26.16758851,8.044659101,36.36606397,3.025180687
23-05-2020 19:11,20.23799167,93.81153053,29.2273089,8.263789339,36.14503477,1.885951916
13-08-2016 01:34,13.60775363,88.28101641,30.08017874,8.23432122,36.25461555,3.108113565
26-07-2021 02:44,8.015784655,69.22762265,27.74849881,8.138938823,33.15780389,4.33997428
05-08-2015 03:11,25.79088649,80.40370068,26.51112594,8.213033798,34.74038779,4.191553734
17-04-2018 11:29,24.68788401,94.16596146,27.48499939,8.092370758,36.32177433,3.479054847
05-09-2019 02:30,8.345279826,77.01024407,27.15049912,7.868076455,35.1413071,4.694591913
02-03-2015 09:23,13.04910169,81.92667641,29.38997745,8.10662525,36.08489566,4.713971728
10-05-2018 09:18,13.67919572,77.87174697,28.70920674,7.89611629,36.32749902,4.701498717
16-04-2016 22:32,11.8059846,83.49326405,26.0426854,7.801331939,34.07375966,3.099684357
09-01-2021 21:23,9.13381319,79.83598216,25.16157788,7.82378301,36.69414135,2.063828486
14-03-2020 19:11,30.73949206,77.28901084,28.50307204,8.14144587,35.07416611,3.536717087
